hf22_tgwt,cond_sur,cond_lcr,cond_mcr,cond_uma,cond_man,geop_mag,geop_grv,geop_dtb,eqi200n5,eqd200n5,geod_shr,geod_dil,geod_2nd,vent_ing,dTrend005,dTrend03,dTrend01,hfqc_tRise,fault01,fault02,fault03,fault04,fault05,fault06,fault07,fault08,faultAl,hfqc_resid
73.2358017,3.6060901,3.74787,3.41135,3.8118701,4.24687,-98.259201,-1.73181,125.913002,1433.800049,314.1000061,0.3,1.2,1.5,105394.0,117.1650009,38.4667015,92.5412979,0.007238,257403.0,9171.969727,9171.969727,9171.969727,9168.55957,9168.55957,9168.55957,9168.55957,9168.55957,247.3665884
85.1583023,2.96105,4.1400199,3.11497,4.0359802,4.25144,38.144001,4.71731,173.0650024,128.6000061,74.5,0.4,0.6,1.2,49015.30078,-56.6128006,-97.7895966,-80.2216034,0.0173078,117172.0,61832.39844,38859.5,38859.5,13695.2998,13695.2998,13695.2998,13695.2998,13695.2998,14.23596078
74.5749969,2.4237399,4.11273,2.63466,3.8343999,4.3014898,-54.9971008,-22.7919006,1697.479981,2697.199951,15973.5,4.8000002,9.3999996,14.6000004,56438.60156,-201.0119934,-280.052002,-230.9589996,0.0044131,79828.29688,4750.0,2371.709961,2371.709961,2371.709961,2371.709961,2371.709961,2371.709961,2371.709961,30.42626587
77.0367966,3.2246101,4.1770301,3.7672901,3.8702199,4.17272,385.6960144,6.2906199,13.1232004,45.0999985,0.0,0.1,-0.6,0.6,52576.10156,-143.4859924,-203.397995,-181.0429993,0.009108,193715.0,22919.69922,22919.69922,16165.2002,16165.2002,16165.2002,16165.2002,16165.2002,16165.2002,48.9591785
71.2233963,3.277,4.0533199,2.77178,4.1358099,4.23348,-345.6860046,-6.7073998,150.2120056,2834.699951,2872.699951,1.0,6.9000001,8.0,38017.30078,-477.7090149,-429.5090027,-500.6210022,0.0055032,346214.0,12198.90039,9089.830078,4609.77002,4609.77002,500.0,500.0,500.0,500.0,794.7747219
95.713501,3.22205,3.9184899,3.3383501,3.8749199,4.2169499,50.7392998,6.5787401,188.7400055,876.9000244,266.0,0.0,2.9000001,2.5,57672.0,-114.461998,-197.7039948,-141.3289948,0.025439,71772.60156,11940.0,11940.0,5926.629883,5926.629883,5926.629883,5926.629883,5926.629883,5926.629883,289.8674921
97.8832016,2.6289201,3.9620299,2.8299601,3.8671999,4.1329598,-83.0354996,-11.5492001,267.2640076,545.4000244,506.1000061,0.0,8.0,7.5,49175.69922,-57.4656982,-63.6901016,-58.6214981,0.0225268,55669.80078,4272.0,353.553009,353.553009,353.553009,353.553009,353.553009,353.553009,353.553009,383.6640866
97.9918976,3.34303,3.67207,3.0590501,3.80866,4.1831598,-79.4394989,0.616862,3.62222,427.1000061,410.5,0.0,5.1999998,4.8000002,43414.39844,-73.0982971,-52.0385017,-57.9217987,0.0125313,67428.20313,7433.029785,7433.029785,7433.029785,7433.029785,7433.029785,7433.029785,7433.029785,7433.029785,7.016580607
78.5804977,2.8589001,3.68257,2.66116,3.81566,4.19484,-68.169899,-8.1409197,1935.839966,1910.699951,959.2000122,1.5,4.3000002,6.0,10250.0,-52.9370995,-180.3769989,-94.8936996,0.0325047,326095.0,14800.7998,14146.59961,9031.200195,9031.200195,4000.0,4000.0,4000.0,4000.0,243.6041894
89.2174988,3.4647601,3.64434,2.7305,3.6233799,4.1452599,-54.5915985,-0.53067,198.8339996,1549.300049,196.1000061,20.0,-9.1000004,34.4000015,20251.5,-100.0780029,-223.147995,-137.602005,0.0152182,7288.689941,4069.709961,4069.709961,4069.709961,707.1069946,707.1069946,707.1069946,707.1069946,707.1069946,-0.027598987
84.0627975,1.39835,3.8527901,1.97244,3.6132901,4.07446,-172.1430054,-5.6781301,247.378006,998.7999878,263.1000061,1.2,10.3999996,11.8000002,63665.60156,-301.7950134,-423.8649902,-350.0069885,0.0117645,1000.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,2705.932185
